date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
25.428000	6.532162E+0
25.429000	6.524625E+0
25.430000	6.524625E+0
25.431000	6.524625E+0
25.432000	6.509553E+0
25.433000	6.489456E+0
25.434000	6.489456E+0
25.435000	6.479408E+0
25.436000	6.484432E+0
25.437000	6.484432E+0
25.438000	6.491968E+0
25.439000	6.502017E+0
25.440000	6.507041E+0
25.441000	6.522113E+0
25.442000	6.524625E+0
25.443000	6.542210E+0
25.444000	6.544722E+0
25.445000	6.544722E+0
25.446000	6.542210E+0
25.447000	6.549746E+0
25.448000	6.554770E+0
25.449000	6.549746E+0
25.450000	6.537186E+0
25.451000	6.534674E+0
25.452000	6.529649E+0
25.453000	6.507041E+0
25.454000	6.512065E+0
25.455000	6.509553E+0
25.456000	6.514577E+0
25.457000	6.514577E+0
25.458000	6.504529E+0
25.459000	6.514577E+0
25.460000	6.509553E+0
25.461000	6.509553E+0
25.462000	6.514577E+0
25.463000	6.539698E+0
25.464000	6.537186E+0
25.465000	6.534674E+0
25.466000	6.522113E+0
25.467000	6.524625E+0
25.468000	6.527137E+0
25.469000	6.524625E+0
25.470000	6.519601E+0
25.471000	6.522113E+0
25.472000	6.524625E+0
25.473000	6.502017E+0
25.474000	6.496993E+0
25.475000	6.504529E+0
25.476000	6.504529E+0
25.477000	6.504529E+0
25.478000	6.517089E+0
25.479000	6.527137E+0
25.480000	6.534674E+0
25.481000	6.532162E+0
25.482000	6.527137E+0
25.483000	6.547234E+0
25.484000	6.554770E+0
25.485000	6.554770E+0
25.486000	6.557282E+0
25.487000	6.554770E+0
25.488000	6.547234E+0
25.489000	6.532162E+0
25.490000	6.522113E+0
25.491000	6.514577E+0
25.492000	6.514577E+0
25.493000	6.494480E+0
25.494000	6.494480E+0
25.495000	6.494480E+0
25.496000	6.486944E+0
25.497000	6.481920E+0
25.498000	6.484432E+0
25.499000	6.502017E+0
25.500000	6.514577E+0
25.501000	6.517089E+0
25.502000	6.514577E+0
25.503000	6.534674E+0
25.504000	6.534674E+0
25.505000	6.537186E+0
25.506000	6.544722E+0
25.507000	6.544722E+0
25.508000	6.549746E+0
25.509000	6.542210E+0
25.510000	6.532162E+0
25.511000	6.534674E+0
25.512000	6.527137E+0
25.513000	6.514577E+0
25.514000	6.509553E+0
25.515000	6.519601E+0
25.516000	6.519601E+0
25.517000	6.509553E+0
25.518000	6.512065E+0
25.519000	6.512065E+0
25.520000	6.522113E+0
25.521000	6.522113E+0
25.522000	6.524625E+0
25.523000	6.542210E+0
25.524000	6.534674E+0
25.525000	6.534674E+0
25.526000	6.524625E+0
25.527000	6.527137E+0
25.528000	6.534674E+0
25.529000	6.517089E+0
25.530000	6.519601E+0
25.531000	6.519601E+0
25.532000	6.517089E+0
25.533000	6.499505E+0
25.534000	6.494480E+0
25.535000	6.496993E+0
25.536000	6.499505E+0
25.537000	6.496993E+0
25.538000	6.507041E+0
25.539000	6.524625E+0
25.540000	6.534674E+0
25.541000	6.532162E+0
25.542000	6.529649E+0
25.543000	6.547234E+0
25.544000	6.562306E+0
25.545000	6.554770E+0
25.546000	6.559794E+0
25.547000	6.554770E+0
25.548000	6.549746E+0
25.549000	6.534674E+0
25.550000	6.524625E+0
25.551000	6.527137E+0
25.552000	6.522113E+0
25.553000	6.504529E+0
25.554000	6.502017E+0
25.555000	6.491968E+0
25.556000	6.491968E+0
25.557000	6.484432E+0
25.558000	6.484432E+0
25.559000	6.496993E+0
25.560000	6.504529E+0
25.561000	6.514577E+0
25.562000	6.517089E+0
25.563000	6.532162E+0
25.564000	6.534674E+0
25.565000	6.532162E+0
25.566000	6.532162E+0
25.567000	6.539698E+0
25.568000	6.544722E+0
25.569000	6.542210E+0
25.570000	6.539698E+0
25.571000	6.532162E+0
25.572000	6.529649E+0
25.573000	6.507041E+0
25.574000	6.504529E+0
25.575000	6.507041E+0
25.576000	6.514577E+0
25.577000	6.512065E+0
25.578000	6.517089E+0
25.579000	6.527137E+0
25.580000	6.524625E+0
25.581000	6.524625E+0
25.582000	6.519601E+0
25.583000	6.529649E+0
25.584000	6.542210E+0
25.585000	6.537186E+0
25.586000	6.544722E+0
25.587000	6.539698E+0
25.588000	6.529649E+0
25.589000	6.517089E+0
25.590000	6.507041E+0
25.591000	6.509553E+0
25.592000	6.507041E+0
25.593000	6.494480E+0
25.594000	6.496993E+0
25.595000	6.489456E+0
25.596000	6.494480E+0
25.597000	6.499505E+0
25.598000	6.494480E+0
25.599000	6.512065E+0
25.600000	6.524625E+0
25.601000	6.529649E+0
25.602000	6.539698E+0
25.603000	6.559794E+0
25.604000	6.557282E+0
25.605000	6.557282E+0
25.606000	6.544722E+0
25.607000	6.552258E+0
25.608000	6.552258E+0
25.609000	6.542210E+0
25.610000	6.542210E+0
25.611000	6.539698E+0
25.612000	6.527137E+0
25.613000	6.499505E+0
25.614000	6.494480E+0
25.615000	6.502017E+0
25.616000	6.502017E+0
25.617000	6.502017E+0
25.618000	6.491968E+0
